recall,precision_mean,precision_sem,n_repeats,model
0.0,1.0,0.0,5,logreg
0.01,1.0,0.0,5,logreg
0.02,1.0,0.0,5,logreg
0.03,1.0,0.0,5,logreg
0.04,0.9808727272727273,0.019127272727272725,5,logreg
0.05,0.9688461538461539,0.019077756650522814,5,logreg
0.06,0.9490235294117646,0.0233198705497425,5,logreg
0.07,0.944330581355349,0.017039218184669542,5,logreg
0.08,0.9317654135338346,0.011101897871802243,5,logreg
0.09,0.9231047035573123,0.014790449475262587,5,logreg
0.1,0.9158042735042736,0.013379352454498233,5,logreg
0.11,0.8980272783251231,0.01638124853446525,5,logreg
0.12,0.8996789115059511,0.013587664415829242,5,logreg
0.13,0.8958405653170359,0.010217453909041174,5,logreg
0.14,0.88404808695335,0.015841331758481268,5,logreg
0.15,0.8908655926871589,0.0150232877549233,5,logreg
0.16,0.8844605454921961,0.014588640268661633,5,logreg
0.17,0.8787090534562717,0.012719499912041056,5,logreg
0.18,0.8777130641562823,0.014966614327266342,5,logreg
0.19,0.8701568895361286,0.017239093334960015,5,logreg
0.2,0.87577679758695,0.01658720830399152,5,logreg
0.21,0.8748476986650789,0.016506923279321392,5,logreg
0.22,0.8588298133694616,0.009437721669039396,5,logreg
0.23,0.858707254008771,0.009566141453428023,5,logreg
0.24,0.8464403292251766,0.014742614013372006,5,logreg
0.25,0.8255670707894479,0.013960701121808776,5,logreg
0.26,0.8187827857324328,0.018812892517441646,5,logreg
0.27,0.8200619295548865,0.018459645261336997,5,logreg
0.28,0.8095216242630647,0.019268355390499994,5,logreg
0.29,0.8148246565596038,0.018849694262768533,5,logreg
0.3,0.7917339319356037,0.012880619817375668,5,logreg
0.31,0.788298493554074,0.010774618734474092,5,logreg
0.32,0.7836797186246869,0.010252159747852322,5,logreg
0.33,0.7662513806368006,0.014160627779122834,5,logreg
0.34,0.7509728249907273,0.01025953721945178,5,logreg
0.35000000000000003,0.7534990739244432,0.009104682779380731,5,logreg
0.36,0.7505273168321688,0.007066336368559996,5,logreg
0.37,0.7506291489991511,0.009014850016199538,5,logreg
0.38,0.7332310843603552,0.006102586740650259,5,logreg
0.39,0.7224391006582384,0.00952296688858156,5,logreg
0.4,0.71514663206619,0.006217698362262485,5,logreg
0.41000000000000003,0.7045107108227884,0.006375386119563906,5,logreg
0.42,0.6978964831078738,0.009858840093869387,5,logreg
0.43,0.6856225397212345,0.007555573379329711,5,logreg
0.44,0.6573187977588182,0.0049206148613977225,5,logreg
0.45,0.6479096115660683,0.005367982139118345,5,logreg
0.46,0.633823101568882,0.0030751808862841904,5,logreg
