n,mean_predicted,observed_rate,gap,arm
735,0.04562509308928326,0.044897959183673466,-0.0007271339056097934,none
735,0.10089066930222138,0.044897959183673466,-0.05599271011854791,none
735,0.15413908575493265,0.04217687074829932,-0.11196221500663334,none
735,0.21506473839071605,0.04081632653061224,-0.1742484118601038,none
735,0.2866215030463837,0.05442176870748299,-0.23219973433890068,none
735,0.3668589196613014,0.10204081632653061,-0.2648181033347708,none
735,0.4578449040660264,0.11564625850340136,-0.342198645562625,none
735,0.5650032398080982,0.1673469387755102,-0.397656301032588,none
735,0.6931039182169497,0.3115646258503401,-0.3815392923666096,none
735,0.8682343359548954,0.6884353741496598,-0.17979896180523558,none
775,0.009611607884470415,0.04903225806451613,0.039420650180045716,holdout
791,0.029688949781372376,0.05815423514538559,0.028465285364013215,holdout
652,0.04122800597187164,0.0352760736196319,-0.0059519323522397374,holdout
800,0.05029566938276269,0.04375,-0.0065456693827626936,holdout
689,0.06262038963514005,0.055152394775036286,-0.007467994860103765,holdout
719,0.08379767836849722,0.09874826147426982,0.014950583105772602,holdout
720,0.12308403674805501,0.12083333333333333,-0.0022507034147216803,holdout
902,0.19876346752155705,0.18070953436807094,-0.018053933153486107,holdout
577,0.3490434557897198,0.3379549393414211,-0.011088516448298669,holdout
725,0.7325268603236406,0.6744827586206896,-0.058044101702950934,holdout
756,0.028275622204330702,0.056878306878306875,0.028602684673976173,crossfit
743,0.03771297191510862,0.04979811574697174,0.01208514383186312,crossfit
724,0.04195059470939881,0.04419889502762431,0.0022483003182254963,crossfit
770,0.04812499477531817,0.032467532467532464,-0.015657462307785704,crossfit
737,0.06111747091884517,0.05970149253731343,-0.001415978381531735,crossfit
688,0.0854410996839329,0.10610465116279069,0.02066355147885779,crossfit
768,0.11930086767696342,0.11067708333333333,-0.008623784343630092,crossfit
694,0.17881962531970258,0.17723342939481268,-0.0015861959248898994,crossfit
755,0.3311913478699026,0.3086092715231788,-0.022582076346723823,crossfit
715,0.7183540272301803,0.6853146853146853,-0.03303934191549496,crossfit
