attribute,group,n,n_positive,base_rate,alert_rate,recall,reportable
gender,female,2940,435,0.14795918367346939,0.336734693877551,0.7724137931034483,True
gender,male,4410,750,0.17006802721088435,0.38684807256235826,0.764,True
marital status,single,2350,600,0.2553191489361702,0.5025531914893617,0.8583333333333333,True
marital status,divorced,1635,165,0.10091743119266056,0.2599388379204893,0.7818181818181819,True
marital status,married,3365,420,0.12481426448736999,0.32392273402674593,0.6309523809523809,True
department,Sales,2230,460,0.2062780269058296,0.4479820627802691,0.7891304347826087,True
department,R&D,4805,665,0.1383975026014568,0.322996878251821,0.7473684210526316,True
department,HR,315,60,0.19047619047619047,0.4603174603174603,0.8166666666666667,True
